title,author,affiliation,author idx
A mathematical framework to optimize resilience of interdependent critical infrastructure systems under spatially localized attacks,Min Ouyang,"Department of Systems Science and Engineering, Huazhong University of Science and Technology, 1037 Luoyu Road, Wuhan 430074, China",1
Bayesian failure-rate modeling and preventive maintenance optimization,Dmitriy Belyi,"Department of Operations Research and Industrial Engineering, The University of Texas at Austin, Austin, TX 78712, USA",1
Bayesian failure-rate modeling and preventive maintenance optimization,Elmira Popova,"Department of Operations Research and Industrial Engineering, The University of Texas at Austin, Austin, TX 78712, USA",2
Bayesian failure-rate modeling and preventive maintenance optimization,David P. Morton,"Department of Industrial Engineering and Management Sciences, Northwestern University, Evanston, IL 60208, USA",3
Bayesian failure-rate modeling and preventive maintenance optimization,Paul Damien,"Department of Information, Risk and Operations Management, McCombs School of Business, The University of Texas at Austin, Austin, TX 78703, USA",4
Identification of effective implementations of simulated annealing for optimizing thinning schedules for single forest stands,Kai Moriguchi,"Interdisciplinary Graduate School of Science and Technology, Shinshu University, 8304 Minami-minowa, Nagano 399-4511, Japan",1
Identification of effective implementations of simulated annealing for optimizing thinning schedules for single forest stands,Tatsuhito Ueki,"Interdisciplinary Graduate School of Science and Technology, Shinshu University, 8304 Minami-minowa, Nagano 399-4511, Japan",2
Identification of effective implementations of simulated annealing for optimizing thinning schedules for single forest stands,Masashi Saito,"Faculty of Agriculture, Shinshu University, 8304 Minami-minowa, Nagano 399-4511, Japan",3
Scheduling the South American Qualifiers to the 2018 FIFA World Cup by integer programming,Guillermo Durán,"Department of Mathematics and Calculus Institute, FCEN, University of Buenos Aires, Ciudad Universitaria, C1428EGA CABA, Argentina",1
Scheduling the South American Qualifiers to the 2018 FIFA World Cup by integer programming,Mario Guajardo,"Department of Business and Management Science, NHH Norwegian School of Economics, Helleveien 30, 5045 Bergen, Norway",2
Scheduling the South American Qualifiers to the 2018 FIFA World Cup by integer programming,Denis Sauré,"Department of Industrial Engineering, FCFM, University of Chile, Beauchef 851, Santiago, Chile",3
From bond yield to macroeconomic instability: A parsimonious affine model,Maria Cristina Recchioni,"Department of Management, Università Politecnica delle Marche, Piazzale Martelli 8, Ancona 60121,Italy",1
From bond yield to macroeconomic instability: A parsimonious affine model,Gabriele Tedeschi,"LEE and Economics Department, Universitat Jaume I, Av. Sos Baynat s/n, 12006-Castellón, Spain",2
Spare parts classification in industrial manufacturing using the dominance-based rough set approach,Qiwei Hu,"Department of Management Engineering, Mechanical Engineering College, Shijiazhuang, 050003, China",1
Spare parts classification in industrial manufacturing using the dominance-based rough set approach,Salem Chakhar,"Portsmouth Business School and Centre for Operational Research & Logistics, University of Portsmouth, Richmond Building Portland, Street Portsmouth PO1 3DE, UK",2
Spare parts classification in industrial manufacturing using the dominance-based rough set approach,Sajid Siraj,"Centre for Decision Research, Leeds University Business School, Leeds LS6 1AN, UK",3
Spare parts classification in industrial manufacturing using the dominance-based rough set approach,Ashraf Labib,"Portsmouth Business School and Centre for Operational Research & Logistics, University of Portsmouth, Richmond Building Portland, Street Portsmouth PO1 3DE, UK",4
