title,author,affiliation,author idx
Regression and Kriging metamodels with their experimental designs in simulation: A review,Jack P.C. Kleijnen,"Tilburg University, Postbox 90153, Tilburg, Netherlands",1
A relaxed projection method for solving multiobjective optimization problems,A.S. Brito,"DM-Universidade Estadual do Piauí, Teresina, Brazil",1
A relaxed projection method for solving multiobjective optimization problems,J.X. Cruz Neto,"DM, Universidade Federal do Piauí, Teresina, PI 64049-500, Brazil",2
A relaxed projection method for solving multiobjective optimization problems,P.S.M. Santos,"CMRV, Universidade Federal do Piauí, Parnaíba, PI 64202-020, Brazil",3
A relaxed projection method for solving multiobjective optimization problems,S.S. Souza,"CMRV, Universidade Federal do Piauí, Parnaíba, PI 64202-020, Brazil",4
Computing equilibrium prices for a capital asset pricing model with heterogeneous beliefs and margin-requirement constraints,Jun Tong,"School of Management, Fudan University, Shanghai 200433, China",1
Computing equilibrium prices for a capital asset pricing model with heterogeneous beliefs and margin-requirement constraints,Jiaqiao Hu,"Department of Applied Mathematics and Statistics, Stony Brook University, NY 11794, New York, United States",2
Computing equilibrium prices for a capital asset pricing model with heterogeneous beliefs and margin-requirement constraints,Jianqiang Hu,"School of Management, Fudan University, Shanghai 200433, China",3
Matrix completion under interval uncertainty,Jakub Mareček,"IBM Research – Ireland, B3 F14 IBM Campus Damastown, Dublin 15, Ireland",1
Matrix completion under interval uncertainty,Peter Richtárik,"University of Edinburgh School of Mathematics, James Clerk Maxwell Building, Peter Guthrie Tait Road, Edinburgh EH9 3FD, Scotland, UK",2
Matrix completion under interval uncertainty,Martin Takáč,"Lehigh University, Harold S. Mohler Laboratory, 200 West Packer Avenue, Bethlehem, PA 18015-1582, USA",3
Optimal allocation of buffer times to increase train schedule robustness,Predrag Jovanović,"Faculty of Transport and Traffic Engineering, University of Belgrade, Serbia",1
Optimal allocation of buffer times to increase train schedule robustness,Pavle Kecman,"Department of Science and Technology, Linköping University, Sweden",2
Optimal allocation of buffer times to increase train schedule robustness,Nebojša Bojović,"Faculty of Transport and Traffic Engineering, University of Belgrade, Serbia",3
Optimal allocation of buffer times to increase train schedule robustness,Dragomir Mandić,"Faculty of Transport and Traffic Engineering, University of Belgrade, Serbia",4
FPTAS for the two identical parallel machine problem with a single operator under the free changing mode,Pierre Baptiste,"Département de Mathématiques et Génie Industriel, École Polytechnique de Montréal, C.P. 6079, succ. Centre-ville, Montréal, Québec H3C 3A7, Canada",1
FPTAS for the two identical parallel machine problem with a single operator under the free changing mode,Djamal Rebaine,"Département d’Informatique et de Mathématique, Université du Québec à Chicoutimi, 555, boul. de l’Université, Saguenay, Québec G7H 2B1, Canada",2
FPTAS for the two identical parallel machine problem with a single operator under the free changing mode,Mohammed Zouba,"Département de Mathématiques et Génie Industriel, École Polytechnique de Montréal, C.P. 6079, succ. Centre-ville, Montréal, Québec H3C 3A7, Canada",3
A new compact formulation for the discrete p-dispersion problem,David Sayah,"Chair of Logistics Management, Johannes Gutenberg University Mainz, Jakob-Welder-Weg 9, Mainz D-55128, Germany",1
A new compact formulation for the discrete p-dispersion problem,Stefan Irnich,"Chair of Logistics Management, Johannes Gutenberg University Mainz, Jakob-Welder-Weg 9, Mainz D-55128, Germany",2
Group-buying and channel coordination under asymmetric information,Thanh Tran,"University of Central Oklahoma, 100 N. University Drive, Edmond, OK 73034, USA",1
Group-buying and channel coordination under asymmetric information,Ramarao Desiraju,"University of Central Florida, 4000 Central Florida Blvd., Orlando, FL 32816, USA",2
Optimisation of maintenance routing and scheduling for offshore wind farms,Chandra Ade Irawan,"Centre for Operational Research and Logistics, Department of Mathematics, University of Portsmouth, Lion Gate Building, Lion Terrace, Portsmouth PO1 3HF, UK",1
Optimisation of maintenance routing and scheduling for offshore wind farms,Djamila Ouelhadj,"Centre for Operational Research and Logistics, Department of Mathematics, University of Portsmouth, Lion Gate Building, Lion Terrace, Portsmouth PO1 3HF, UK",2
Optimisation of maintenance routing and scheduling for offshore wind farms,Dylan Jones,"Centre for Operational Research and Logistics, Department of Mathematics, University of Portsmouth, Lion Gate Building, Lion Terrace, Portsmouth PO1 3HF, UK",3
Optimisation of maintenance routing and scheduling for offshore wind farms,Magnus Stålhane,"Department of Industrial Economics and Technology Management, Norwegian University of Science and Technology, Alfred Getz veg 3, 7491 Trondheim, Norway",4
Optimisation of maintenance routing and scheduling for offshore wind farms,Iver Bakken Sperstad,"SINTEF Energy Research, P.O. Box 4761 Sluppen, NO-7465 Trondheim, Norway",5
A feasibility-based heuristic for the container pre-marshalling problem,Ning Wang,"Department of Information Management, School of Management, Shanghai University, Shanghai, China",1
A feasibility-based heuristic for the container pre-marshalling problem,Bo Jin,"Department of Management Sciences, City University of Hong Kong, Hong Kong",2
A feasibility-based heuristic for the container pre-marshalling problem,Zizhen Zhang,"School of Data and Computer Science, Sun Yat-Sen University, China",3
A feasibility-based heuristic for the container pre-marshalling problem,Andrew Lim,"Department of Industrial & Systems Engineering, National University of Singapore, Singapore",4
A multi-item approach to repairable stocking and expediting in a fluctuating demand environment,Joachim Arts,"School of Industrial Engineering, Eindhoven University of Technology, PO box 513, 5600MB, Eindhoven, the Netherlands",1
The risk-averse newsvendor problem under spectral risk measures: A classification with extensions,Emel Arıkan,"Department of Information Systems and Operations, WU Vienna University of Economics and Business, Austria",1
The risk-averse newsvendor problem under spectral risk measures: A classification with extensions,Johannes Fichtinger,"Department of Information Systems and Operations, WU Vienna University of Economics and Business, Austria",2
Heuristics for multi-item two-echelon spare parts inventory control subject to aggregate and individual service measures,Engin Topan,"Industrial Engineering and Innovation Sciences, Eindhoven University of Technology, 5600 MB Eindhoven, The Netherlands",1
Heuristics for multi-item two-echelon spare parts inventory control subject to aggregate and individual service measures,Z. Pelin Bayındır,"Industrial Engineering, Middle East Technical University, 06800 Çankaya, Ankara, Turkey",2
Heuristics for multi-item two-echelon spare parts inventory control subject to aggregate and individual service measures,Tarkan Tan,"Industrial Engineering and Innovation Sciences, Eindhoven University of Technology, 5600 MB Eindhoven, The Netherlands",3
The impact of customer returns in a supply chain with a common retailer,Hui Yang,"School of Economics and Management, Nanjing University of Science and Technology, Nanjing 210094, PR China",1
The impact of customer returns in a supply chain with a common retailer,Jing Chen,"Rowe School of Business, Dalhousie University, Halifax NS B3H 4R2, Canada",2
The impact of customer returns in a supply chain with a common retailer,Xu Chen,"School of Management and Economics, University of Electronic Science and Technology, Chengdu 611731, PR China",3
The impact of customer returns in a supply chain with a common retailer,Bintong Chen,"Lerner College of Business and Economics, University of Delaware, Newark DE 19716, USA",4
Mitigating variance amplification under stochastic lead-time: The proportional control approach,Xun Wang,"Logistics Systems Dynamics Group, Cardiff Business School, Cardiff University, Aberconway Building, Colum Drive, Cardiff, CF10 3EU, UK",1
Mitigating variance amplification under stochastic lead-time: The proportional control approach,Stephen M. Disney,"Logistics Systems Dynamics Group, Cardiff Business School, Cardiff University, Aberconway Building, Colum Drive, Cardiff, CF10 3EU, UK",2
Relevant states and memory in Markov chain bootstrapping and simulation,Roy Cerqueti,"Dipartimento di Economia e Diritto, Università degli Studi di Macerata, Via Crescimbeni, 20 - 62100 Macerata MC, Italy",1
Relevant states and memory in Markov chain bootstrapping and simulation,Paolo Falbo,"Dipartimento di Economia e Management, Università degli Studi di Brescia, Contrada S. Chiara, 50 - 25122 Brescia BS, Italy",2
Relevant states and memory in Markov chain bootstrapping and simulation,Cristian Pelizzari,"Dipartimento di Economia e Diritto, Università degli Studi di Macerata, Via Crescimbeni, 20 - 62100 Macerata MC, Italy",3
A Geo/G/1 retrial queueing system with priority services,I. Atencia,"University of Málaga, Higher Polytechnic School, Department of Applied Mathematics, 29071 Málaga, Spain",1
"Multi-server tandem queue with Markovian arrival process, phase-type service times, and finite buffers",Hendrik Baumann,"Department of Applied Stochastics and Operations Research, Clausthal University of Technology, Erzstr. 1, Clausthal-Zellerfeld 38678, Germany",1
"Multi-server tandem queue with Markovian arrival process, phase-type service times, and finite buffers",Werner Sandmann,"Department of Computer Science, Saarland University, Campus E1 3, Saarbrücken 66123, Germany",2
Comparison of least squares Monte Carlo methods with applications to energy real options,Selvaprabu Nadarajah,"College of Business Administration, University of Illinois at Chicago, 601 South Morgan Street, Chicago, IL 60607, USA",1
Comparison of least squares Monte Carlo methods with applications to energy real options,François Margot,"Tepper School of Business, Carnegie Mellon University, 5000 Forbes Avenue, Pittsburgh, PA 15213-3890, USA",2
Comparison of least squares Monte Carlo methods with applications to energy real options,Nicola Secomandi,"Tepper School of Business, Carnegie Mellon University, 5000 Forbes Avenue, Pittsburgh, PA 15213-3890, USA",3
Chance-constrained optimization for pension fund portfolios in the presence of default risk,Yufei Sun,"Department of Mathematics and Statistics, Curtin University, Australia",1
Chance-constrained optimization for pension fund portfolios in the presence of default risk,Grace Aw,"Department of Mathematics and Statistics, Curtin University, Australia",2
Chance-constrained optimization for pension fund portfolios in the presence of default risk,Ryan Loxton,"Department of Mathematics and Statistics, Curtin University, Australia",3
Chance-constrained optimization for pension fund portfolios in the presence of default risk,Kok Lay Teo,"Department of Mathematics and Statistics, Curtin University, Australia",4
Robust two-stage stochastic linear optimization with risk aversion,Aifan Ling,"School of Finance, Jiangxi University of Finance and Economics, Nanchang 330013, China",1
Robust two-stage stochastic linear optimization with risk aversion,Jie Sun,"Department of Mathematics and Statistics, Curtin University, Perth, Australia",2
Robust two-stage stochastic linear optimization with risk aversion,Naihua Xiu,"School of Science, Beijing Jiaotong University, Beijing 100044, China",3
Robust two-stage stochastic linear optimization with risk aversion,Xiaoguang Yang,"Academy of Mathematics and Systems Science CAS, Beijing 100190, China",4
Resource pooling in the presence of failures: Efficiency versus risk,Sigrún Andradóttir,"H. Milton Stewart School of Industrial and Systems Engineering, Georgia Institute of Technology, Atlanta, GA 30332-0205, USA",1
Resource pooling in the presence of failures: Efficiency versus risk,Hayriye Ayhan,"H. Milton Stewart School of Industrial and Systems Engineering, Georgia Institute of Technology, Atlanta, GA 30332-0205, USA",2
Resource pooling in the presence of failures: Efficiency versus risk,Douglas G. Down,"Department of Computing and Software, McMaster University, Hamilton, Ontario L8S 4L7, Canada",3
Compact mixed integer linear programming models to the minimum weighted tree reconstruction problem,Bernard Fortz,"Department of Computer Science, Université Libre de Bruxelles, B-1050 Brussels, Belgium and INOCS, INRIA Lille Nord-Europe, France",1
Compact mixed integer linear programming models to the minimum weighted tree reconstruction problem,Olga Oliveira,"Department of Mathematics, University of Aveiro, Aveiro 3810-193, Portugal",2
Compact mixed integer linear programming models to the minimum weighted tree reconstruction problem,Cristina Requejo,"Department of Mathematics, University of Aveiro, Aveiro 3810-193, Portugal",3
A more human-like portfolio optimization approach,Thuener Silva,"Department of Informatics, Pontifical Catholic University of Rio de Janeiro(PUC-Rio), Rua Marquês de São Vicente, 225 RDC, CEP 22451–900 Gávea, Rio de Janeiro RJ, Brazil",1
A more human-like portfolio optimization approach,Plácido Rogério Pinheiro,"Graduate Program in Applied Informatics, University of Fortaleza (UNIFOR), Av. Washington Soares, 1321 - Bl J Sl 30 - 60.811–905, Fortaleza, Brazil",2
A more human-like portfolio optimization approach,Marcus Poggi,"Department of Informatics, Pontifical Catholic University of Rio de Janeiro(PUC-Rio), Rua Marquês de São Vicente, 225 RDC, CEP 22451–900 Gávea, Rio de Janeiro RJ, Brazil",3
Distributionally robust single machine scheduling with risk aversion,Zhiqi Chang,"Department of Automation, Tsinghua University, Beijing 100084, PR China",1
Distributionally robust single machine scheduling with risk aversion,Shiji Song,"Department of Automation, Tsinghua University, Beijing 100084, PR China",2
Distributionally robust single machine scheduling with risk aversion,Yuli Zhang,"Department of Industrial Engineering, Tsinghua University, Beijing 100084, PR China",3
Distributionally robust single machine scheduling with risk aversion,Jian-Ya Ding,"Department of Automation, Tsinghua University, Beijing 100084, PR China",4
Distributionally robust single machine scheduling with risk aversion,Rui Zhang,"School of Economics and Management, Xiamen University of Technology, Xiamen 361024, PR China",5
Distributionally robust single machine scheduling with risk aversion,Raymond Chiong,"School of Design, Communication and Information Technology, The University of Newcastle, Callaghan, NSW 2308, Australia",6
Decomposing productivity indexes into explanatory factors,W. Erwin Diewert,"University of British Columbia, Vancouver, BC, Canada",1
Decomposing productivity indexes into explanatory factors,Kevin J. Fox,"School of Economics and Centre for Applied Economic Research, University of New South Wales, Sydney 2052, Australia",2
Bayesian estimation of the global minimum variance portfolio,Taras Bodnar,"Department of Mathematics, Stockholm University, Roslagsvägen 101, Stockholm SE-10691, Sweden",1
Bayesian estimation of the global minimum variance portfolio,Stepan Mazur,"Department of Statistics, Lund University, Tycho Brahes väg 1, Lund SE-22007, Sweden",2
Bayesian estimation of the global minimum variance portfolio,Yarema Okhrin,"Department of Statistics, University of Augsburg, Augsburg D-86159, Germany",3
Measurement of interest rates using a convex optimization model,Jörgen Blomvall,"Department of Management and Industrial Engineering, Linköping University, Linköping SE-58183, Sweden",1
Stochastic survivable network design problems: Theory and practice,Ivana Ljubić,"ESSEC Business School, IDS Department, 3 Av. Bernard Hirsch, B.P. 50105, 95021 Cergy Pontoise Cedex, France",1
Stochastic survivable network design problems: Theory and practice,Petra Mutzel,"Chair XI for Algorithm Engineering, Department of Computer Science, TU Dortmund, Germany, Otto-Hahn-Str. 14, 44227 Dortmund",2
Stochastic survivable network design problems: Theory and practice,Bernd Zey,"Chair XI for Algorithm Engineering, Department of Computer Science, TU Dortmund, Germany, Otto-Hahn-Str. 14, 44227 Dortmund",3
Iterated Local Search and Column Generation to solve Arc-Routing as a permutation set-covering problem,Daniel Porumbel,"CEDRIC, Conservatoire National des Arts et Métiers, Paris, France",1
Iterated Local Search and Column Generation to solve Arc-Routing as a permutation set-covering problem,Gilles Goncalves,"Univ. Artois, EA 3926, Laboratoire de Génie Informatique et d’Automatique de l’Artois, Béthune, France",2
Iterated Local Search and Column Generation to solve Arc-Routing as a permutation set-covering problem,Hamid Allaoui,"Univ. Artois, EA 3926, Laboratoire de Génie Informatique et d’Automatique de l’Artois, Béthune, France",3
Iterated Local Search and Column Generation to solve Arc-Routing as a permutation set-covering problem,Tienté Hsu,"Univ. Artois, EA 3926, Laboratoire de Génie Informatique et d’Automatique de l’Artois, Béthune, France",4
Scalability of using Restricted Boltzmann Machines for combinatorial optimization,Malte Probst,"Department of Information Systems and Business Administration, Johannes Gutenberg-Universität Mainz, Jakob-Welder-Weg 9, Mainz 55128, Germany",1
Scalability of using Restricted Boltzmann Machines for combinatorial optimization,Franz Rothlauf,"Department of Information Systems and Business Administration, Johannes Gutenberg-Universität Mainz, Jakob-Welder-Weg 9, Mainz 55128, Germany",2
Scalability of using Restricted Boltzmann Machines for combinatorial optimization,Jörn Grahl,"Department of Management, Economics and Social Sciences, Universität zu Köln, Universitätsstr. 91, Cologne 50969, Germany",3
Approximation algorithms for the workload partition problem and applications to scheduling with variable processing times,Daniel Oron,"The University of Sydney Business School, NSW 2006, Australia",1
Approximation algorithms for the workload partition problem and applications to scheduling with variable processing times,Dvir Shabtay,"Department of Industrial Engineering and Management, Ben-Gurion University of the Negev, Beer Sheva, Israel",2
Approximation algorithms for the workload partition problem and applications to scheduling with variable processing times,George Steiner,"Operations Management Area, McMaster University, Hamilton, Ontario, Canada",3
Lower bounds and algorithms for the minimum cardinality bin covering problem,Rico Walter,"Friedrich Schiller University Jena, Chair for Management Science, Carl-Zeiß-Straße 3, D-07743 Jena, Germany",1
Lower bounds and algorithms for the minimum cardinality bin covering problem,Alexander Lawrinenko,"Friedrich Schiller University Jena, Chair for Management Science, Carl-Zeiß-Straße 3, D-07743 Jena, Germany",2
Route and fleet design for cyclic inventory routing,Birger Raa,"Department of Industrial Systems Engineering and Product Design, Ghent University, Technologiepark 903, Zwijnaarde 9052, Belgium",1
Route and fleet design for cyclic inventory routing,Wout Dullaert,"Department of Information, Logistics and Innovation, Vrije Universiteit Amsterdam, Netherlands",2
A negotiation-based algorithm to coordinate supplier development in decentralized supply chains,M. Proch,"Faculty of Law, Business Administration and Economics, Universität Bayreuth, 95440 Bayreuth, Germany",1
A negotiation-based algorithm to coordinate supplier development in decentralized supply chains,K. Worthmann,"Institute for Mathematics, Technische Universität Ilmenau, 98683 Ilmenau, Germany",2
A negotiation-based algorithm to coordinate supplier development in decentralized supply chains,J. Schlüchtermann,"Faculty of Law, Business Administration and Economics, Universität Bayreuth, 95440 Bayreuth, Germany",3
Reservation policies of advance orders in the presence of multiple demand classes,Bisheng Du,"School of Business, Ningbo University, Ningbo, Zhejiang, China",1
Reservation policies of advance orders in the presence of multiple demand classes,Christian Larsen,"Cluster of Operations Research in Logistics (CORAL), Department of Economics and Business Economics, Aarhus University, Aarhus, Denmark",2
Analytical properties of an imperfect repair model and application in preventive maintenance scheduling,Dinh Tuan Nguyen,"Laboratoire de Modélisation et Sûreté des Systèmes, Université de Technologie de Troyes, 12 rue Marie Curie, CS 42060, 10004 Troyes Cedex, France",1
Analytical properties of an imperfect repair model and application in preventive maintenance scheduling,Yann Dijoux,"Laboratoire de Modélisation et Sûreté des Systèmes, Université de Technologie de Troyes, 12 rue Marie Curie, CS 42060, 10004 Troyes Cedex, France",2
Analytical properties of an imperfect repair model and application in preventive maintenance scheduling,Mitra Fouladirad,"Laboratoire de Modélisation et Sûreté des Systèmes, Université de Technologie de Troyes, 12 rue Marie Curie, CS 42060, 10004 Troyes Cedex, France",3
On the calculation of safety stocks when demand is forecasted,Dennis Prak,"Department of Operations, University of Groningen, PO Box 800, 9700 AV Groningen, The Netherlands",1
On the calculation of safety stocks when demand is forecasted,Ruud Teunter,"Department of Operations, University of Groningen, PO Box 800, 9700 AV Groningen, The Netherlands",2
On the calculation of safety stocks when demand is forecasted,Aris Syntetos,"Cardiff Business School, Cardiff University, Cardiff CF10 3EU, United Kingdom",3
Worst-case demand distributions in vehicle routing,John Gunnar Carlsson,"Department of Industrial and Systems Engineering, University of Southern California, United States",1
Worst-case demand distributions in vehicle routing,Mehdi Behroozi,"Department of Mechanical and Industrial Engineering at Northeastern University, United States",2
Stabilizing performance in a service system with time-varying arrivals and customer feedback,Yunan Liu,"Department of Industrial Engineering, North Carolina State University, Raleigh, NC 27695-7906, United States",1
Stabilizing performance in a service system with time-varying arrivals and customer feedback,Ward Whitt,"Department of Industrial Engineering and Operations Research, Columbia University, New York, NY 10027-6699, United States",2
A new cross decomposition method for stochastic mixed-integer linear programming,Emmanuel Ogbe,"Department of Chemical Engineering, Queen’s University, 19 Division Street, Kingston, ON K7L 3N6, Canada",1
A new cross decomposition method for stochastic mixed-integer linear programming,Xiang Li,"Department of Chemical Engineering, Queen’s University, 19 Division Street, Kingston, ON K7L 3N6, Canada",2
Robust portfolio selection problem under temperature uncertainty,Nalân Gülpınar,"Warwick Business School, The University of Warwick, Coventry CV4 7AL, UK",1
Robust portfolio selection problem under temperature uncertainty,Ethem Çanakoḡlu,"Industrial Engineering, Bahçeşehir University, Istanbul, Turkey",2
Comparing school ownership performance using a pseudo-panel database: A Malmquist-type index approach,Juan Aparicio,"Center of Operations Research, University Miguel Hernandez of Elche, Av.de la universidad s/n, 03202 Elche, Spain",1
Comparing school ownership performance using a pseudo-panel database: A Malmquist-type index approach,Eva Crespo-Cebada,"Department of Economics, University of Extremadura, Av. Elvas s/n, 06071 Badajoz, Spain",2
Comparing school ownership performance using a pseudo-panel database: A Malmquist-type index approach,Francisco Pedraja-Chaparro,"Department of Economics, University of Extremadura, Av. Elvas s/n, 06071 Badajoz, Spain",3
Comparing school ownership performance using a pseudo-panel database: A Malmquist-type index approach,Daniel Santín,"Department of Applied Economics VI, Complutense University of Madrid, Campus de Somosaguas, 28223 Madrid, Spain",4
Optimal regime switching under risk aversion and uncertainty,Michail Chronopoulos,"School of Computing Engineering and Mathematics, University of Brighton, Brighton, UK",1
Optimal regime switching under risk aversion and uncertainty,Sara Lumbreras,"Universidad Pontificia Comillas, Madrid, Spain",2
Optimal design of uptime-guarantee contracts under IGFR valuations and convex costs,Behzad Hezarkhani,"Nottingham University Business School, University of Nottingham, Jubilee Campus, Nottingham, NG8 1BB, UK",1
The impact of global climate change on water quantity and quality: A system dynamics approach to the US–Mexican transborder region,J.A. Duran-Encalada,"Business Administration and Chemical Engineering Departments, Business and Economics School, Universidad de las Américas Puebla, Sta. Catarina Mártir, Cholula, 72820 Puebla, México",1
The impact of global climate change on water quantity and quality: A system dynamics approach to the US–Mexican transborder region,A. Paucar-Caceres,"Manchester Metropolitan University Business School, All Saints Campus, Oxford Road, Manchester M15 6BH, UK",2
The impact of global climate change on water quantity and quality: A system dynamics approach to the US–Mexican transborder region,E.R. Bandala,"Business Administration and Chemical Engineering Departments, Business and Economics School, Universidad de las Américas Puebla, Sta. Catarina Mártir, Cholula, 72820 Puebla, México",3
The impact of global climate change on water quantity and quality: A system dynamics approach to the US–Mexican transborder region,G.H. Wright,"Manchester Metropolitan University Business School, All Saints Campus, Oxford Road, Manchester M15 6BH, UK",4
Defense and attack for interdependent systems,Kjell Hausken,"Faculty of Social Sciences, University of Stavanger, 4036 Stavanger, Norway",1
Easy and optimal queries to reduce set uncertainty,N. Ben Abdallah,"MIA518, AgroParisTech/INRA, Paris, France",1
Easy and optimal queries to reduce set uncertainty,S. Destercke,"UMR CNRS 7253 Heudiasyc, Université de Technologie de Compiègne, Compiègne, France",2
Easy and optimal queries to reduce set uncertainty,M. Sallak,"UMR CNRS 7253 Heudiasyc, Université de Technologie de Compiègne, Compiègne, France",3
Modeling strategic investment decisions in spatial markets,Stefan Lorenczik,"ewi Energy Research & Scenarios, Vogelsanger Straße 321a, Cologne 50827, Germany",1
Modeling strategic investment decisions in spatial markets,Raimund Malischek,"ewi Energy Research & Scenarios, Vogelsanger Straße 321a, Cologne 50827, Germany",2
Modeling strategic investment decisions in spatial markets,Johannes Trüby,"International Energy Agency (IEA), 9 rue de la Fédération, Paris Cedex 15 75739, France",3
Combining revenue and equity in capacity allocation of imaging facilities,Liping Zhou,"School of Mechanical Engineering, Department of Industrial Engineering and Management, Shanghai Jiao Tong University, 800 Dongchuan Road, Shanghai 200240, PR China",1
Combining revenue and equity in capacity allocation of imaging facilities,Na Geng,"School of Mechanical Engineering, Department of Industrial Engineering and Management, Shanghai Jiao Tong University, 800 Dongchuan Road, Shanghai 200240, PR China",2
Combining revenue and equity in capacity allocation of imaging facilities,Zhibin Jiang,"School of Mechanical Engineering, Department of Industrial Engineering and Management, Shanghai Jiao Tong University, 800 Dongchuan Road, Shanghai 200240, PR China",3
Combining revenue and equity in capacity allocation of imaging facilities,Xiuxian Wang,"School of Mechanical Engineering, Department of Industrial Engineering and Management, Shanghai Jiao Tong University, 800 Dongchuan Road, Shanghai 200240, PR China",4
Non-radial cost Luenberger productivity indicator,Yu-Hui Lin,"Department of Marketing and Logistics Management, Taipei City University of Science and Technology, Taipei, No. 2, Xueyuan Road, Beitou, Taipei, Taiwan (R.O.C.)",1
Non-radial cost Luenberger productivity indicator,Tsu-Tan Fu,"Department of Economics, Soochow University, Taiwan, 56, Kuei-yang St., Sec. 1, Taipei, Taiwan (R.O.C.)",2
Non-radial cost Luenberger productivity indicator,Chia-Li Chen,"Department of Information Management, Lunghwa University of Science and Technology",3
Non-radial cost Luenberger productivity indicator,Jia-Ching Juo,"Department of International Business, Lunghwa University of Science and Technology, No. 300, Sec. 1, Wanshou Rd., Guishan District, Taoyuan City 33306, Taiwan (R.O.C.)",4
Adjustment costs in the technical efficiency: An application to global banking,Euthimios G. Tsionas,"Athens University of Economics and Business, Department Economics, Athens, Greece",1
Adjustment costs in the technical efficiency: An application to global banking,Emmanuel C. Mamatzakis,"School of Business, Management and Economics, Jubilee Building, University of Sussex, Falmer, Brighton BN1 9SL, UK",2
On noncooperative oligopoly equilibrium in the multiple leader–follower game,Ludovic A. Julien,"EconomiX, Université de Paris Ouest-Nanterre La Défense, 200 avenue de la République, Nanterre Cédex 92001, France",1
Exploring factors affecting the level of happiness across countries: A conditional robust nonparametric frontier analysis,José Manuel Cordero,"Universidad de Extremadura, Av. Elvas s/n, 06006 Badajoz, Spain",1
Exploring factors affecting the level of happiness across countries: A conditional robust nonparametric frontier analysis,Javier Salinas-Jiménez,"Universidad Autónoma de Madrid, Spain",2
Exploring factors affecting the level of happiness across countries: A conditional robust nonparametric frontier analysis,M Mar Salinas-Jiménez,"Universidad de Extremadura, Av. Elvas s/n, 06006 Badajoz, Spain",3
An approximate solution to rent-seeking contests with private information,Andrea Gallice,"University of Torino (ESOMAS Department, Corso Unione Sovietica 218bis, Torino, 10134, Italy) and Collegio Carlo Alberto",1
A column generation approach to high school timetabling modeled as a multicommodity flow problem,Árton P. Dorneles,"Instituto de Informática, Universidade Federal do Rio Grande do Sul, 91501-970 Porto Alegre, RS, Brazil",1
A column generation approach to high school timetabling modeled as a multicommodity flow problem,Olinto C.B. de Araújo,"Colégio Técnico Industrial de Santa Maria, Universidade Federal de Santa Maria, 97105-900 Santa Maria, RS, Brazil",2
A column generation approach to high school timetabling modeled as a multicommodity flow problem,Luciana S. Buriol,"Instituto de Informática, Universidade Federal do Rio Grande do Sul, 91501-970 Porto Alegre, RS, Brazil",3
Two decomposition algorithms for solving a minimum weight maximum clique model for the air conflict resolution problem,Thibault Lehouillier,"Group for Research in Decision Analysis, HEC Montréal, 3000, chemin de la Côte-Sainte-Catherine, Montréal, Quebec H3T 2A7, Canada",1
Two decomposition algorithms for solving a minimum weight maximum clique model for the air conflict resolution problem,Jérémy Omer,"Institut de Recherche Mathématique de Rennes & INSA de Rennes, Rennes, France",2
Two decomposition algorithms for solving a minimum weight maximum clique model for the air conflict resolution problem,François Soumis,"Group for Research in Decision Analysis, HEC Montréal, 3000, chemin de la Côte-Sainte-Catherine, Montréal, Quebec H3T 2A7, Canada",3
Two decomposition algorithms for solving a minimum weight maximum clique model for the air conflict resolution problem,Guy Desaulniers,"Group for Research in Decision Analysis, HEC Montréal, 3000, chemin de la Côte-Sainte-Catherine, Montréal, Quebec H3T 2A7, Canada",4
Modeling elements and solving techniques for the data dissemination problem,Ronan Bocquillon,"Sorbonne Universités, Université de Technologie de Compiègne, CNRS, Heudiasyc UMR 7253, CS 60319, Compiègne cedex 60203, France",1
Modeling elements and solving techniques for the data dissemination problem,Antoine Jouglet,"Sorbonne Universités, Université de Technologie de Compiègne, CNRS, Heudiasyc UMR 7253, CS 60319, Compiègne cedex 60203, France",2
"A multi-threaded local search algorithm and computer implementation for the multi-mode, resource-constrained multi-project scheduling problem",Martin Josef Geiger,"Helmut-Schmidt-University/University of the Federal Armed Forces Hamburg, Holstenhofweg 85, 22043 Hamburg, Germany",1
A hybrid genetic algorithm with decomposition phases for the Unequal Area Facility Layout Problem,Frederico Galaxe Paes,"Instituto Federal Fluminense – IFF, Av. Souza Mota, 350, Pq. Fundão, 28060-010 Campos dos Goytacazes, RJ, Brazil",1
A hybrid genetic algorithm with decomposition phases for the Unequal Area Facility Layout Problem,Artur Alves Pessoa,"Departamento de Engenharia de Produção – Universidade Federal Fluminense, Rua Passo da Pátria 156, São Domingos 24210-240 Niterói, RJ, Brazil",2
A hybrid genetic algorithm with decomposition phases for the Unequal Area Facility Layout Problem,Thibaut Vidal,"Departamento de Informática – PUC–Rio, Rua Marquês de São Vicente, 225, Gávea 22451-900 Rio de Janeiro, RJ, Brazil",3
Capital- and resource-constrained project scheduling with net present value optimization,Pieter Leyman,"Faculty of Economics and Business Administration, Ghent University, Tweekerkenstraat 2, 9000 Ghent, Belgium",1
Capital- and resource-constrained project scheduling with net present value optimization,Mario Vanhoucke,"Faculty of Economics and Business Administration, Ghent University, Tweekerkenstraat 2, 9000 Ghent, Belgium",2
Improved exact algorithms to economic lot-sizing with piecewise linear production costs,Jinwen Ou,"Department of Administrative Management, Business School, Jinan University, Guangzhou 510632, People’s Republic of China",1
